id,name,date,value
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-03T13:00Z,43298
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-03T14:00Z,44384
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-03T15:00Z,44299
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-03T16:00Z,42816
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-03T17:00Z,40915
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-03T18:00Z,39213
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-03T19:00Z,37786
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-03T20:00Z,36583
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-03T21:00Z,35677
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-03T22:00Z,35343
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-03T23:00Z,35587
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04,37196
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T01:00Z,39537
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T02:00Z,39901
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T03:00Z,39835
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T04:00Z,39349
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T05:00Z,38126
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T06:00Z,36813
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T07:00Z,35915
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T08:00Z,35593
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T09:00Z,35644
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T10:00Z,36188
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T11:00Z,37388
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T12:00Z,39822
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T13:00Z,43222
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T14:00Z,45363
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T15:00Z,45061
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T16:00Z,43415
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T17:00Z,41834
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T18:00Z,40572
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T19:00Z,39675
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T20:00Z,39141
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T21:00Z,38756
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T22:00Z,38598
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-04T23:00Z,38571
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05,39384
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T01:00Z,41298
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T02:00Z,41069
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T03:00Z,40422
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T04:00Z,39426
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T05:00Z,37814
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T06:00Z,36041
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T07:00Z,34936
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T08:00Z,34571
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T09:00Z,34611
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T10:00Z,35125
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T11:00Z,36426
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T12:00Z,38973
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T13:00Z,42653
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T14:00Z,44775
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T15:00Z,44461
